{'t': '26.50', 'h': '52.50', 'time': '1657534557.07'}
{'t': '26.50', 'h': '52.70', 'time': '1657534562.19'}
{'t': '26.50', 'h': '52.90', 'time': '1657534567.32'}
{'t': '26.50', 'h': '52.80', 'time': '1657534572.43'}
{'t': '26.50', 'h': '52.60', 'time': '1657534577.55'}
{'t': '26.50', 'h': '52.70', 'time': '1657534582.67'}
{'t': '26.50', 'h': '52.80', 'time': '1657534587.79'}
{'t': '26.50', 'h': '52.50', 'time': '1657534592.92'}
{'t': '26.50', 'h': '52.40', 'time': '1657534598.03'}
{'t': '26.50', 'h': '52.30', 'time': '1657534603.06'}
{'t': '26.50', 'h': '52.50', 'time': '1657534608.17'}
{'t': '26.50', 'h': '52.60', 'time': '1657534613.29'}
{'t': '26.50', 'h': '52.80', 'time': '1657534618.41'}
{'t': '26.50', 'h': '53.20', 'time': '1657534623.54'}
{'t': '26.50', 'h': '53.10', 'time': '1657534628.56'}
{'t': '26.50', 'h': '52.90', 'time': '1657534633.58'}
{'t': '26.50', 'h': '52.90', 'time': '1657534638.69'}
{'t': '26.50', 'h': '52.90', 'time': '1657534643.81'}
{'t': '26.50', 'h': '52.70', 'time': '1657534648.93'}
{'t': '26.50', 'h': '52.40', 'time': '1657534654.05'}
{'t': '26.50', 'h': '52.50', 'time': '1657534659.17'}
{'t': '26.50', 'h': '52.90', 'time': '1657534664.29'}
{'t': '26.50', 'h': '52.90', 'time': '1657534669.41'}
{'t': '26.50', 'h': '52.70', 'time': '1657534674.53'}
{'t': '26.50', 'h': '52.80', 'time': '1657534679.65'}
{'t': '26.50', 'h': '52.90', 'time': '1657534684.77'}
{'t': '26.50', 'h': '53.10', 'time': '1657534689.89'}
{'t': '26.50', 'h': '53.10', 'time': '1657534695.01'}
{'t': '26.50', 'h': '52.90', 'time': '1657534700.13'}
{'t': '26.50', 'h': '52.80', 'time': '1657534705.25'}
{'t': '26.50', 'h': '52.70', 'time': '1657534710.37'}
{'t': '26.50', 'h': '52.40', 'time': '1657534715.49'}
{'t': '26.50', 'h': '52.50', 'time': '1657534720.61'}
{'t': '26.50', 'h': '52.80', 'time': '1657534725.73'}
{'t': '26.50', 'h': '52.90', 'time': '1657534730.85'}
{'t': '26.50', 'h': '52.90', 'time': '1657534735.97'}
{'t': '26.50', 'h': '52.90', 'time': '1657534741.09'}
{'t': '26.50', 'h': '53.00', 'time': '1657534746.21'}
{'t': '26.50', 'h': '52.70', 'time': '1657534751.43'}
{'t': '26.50', 'h': '52.70', 'time': '1657534756.55'}
{'t': '26.50', 'h': '52.50', 'time': '1657534761.67'}
{'t': '26.50', 'h': '52.40', 'time': '1657534766.79'}
{'t': '26.50', 'h': '52.50', 'time': '1657534771.91'}
{'t': '26.50', 'h': '52.70', 'time': '1657534777.03'}
{'t': '26.50', 'h': '52.90', 'time': '1657534782.15'}
{'t': '26.50', 'h': '53.20', 'time': '1657534787.27'}
{'t': '26.50', 'h': '53.20', 'time': '1657534792.39'}
{'t': '26.50', 'h': '52.90', 'time': '1657534797.51'}
{'t': '26.50', 'h': '52.80', 'time': '1657534802.54'}
{'t': '26.50', 'h': '52.70', 'time': '1657534807.65'}
{'t': '26.50', 'h': '52.90', 'time': '1657534812.77'}
{'t': '26.50', 'h': '52.60', 'time': '1657534817.89'}
{'t': '26.50', 'h': '52.50', 'time': '1657534823.01'}
{'t': '26.50', 'h': '52.50', 'time': '1657534828.13'}
{'t': '26.50', 'h': '52.30', 'time': '1657534833.26'}
{'t': '26.50', 'h': '52.10', 'time': '1657534838.37'}
{'t': '26.50', 'h': '52.20', 'time': '1657534843.6'}
{'t': '26.50', 'h': '52.40', 'time': '1657534848.72'}
{'t': '26.50', 'h': '52.70', 'time': '1657534853.84'}
{'t': '26.50', 'h': '52.60', 'time': '1657534858.96'}
{'t': '26.50', 'h': '52.60', 'time': '1657534864.08'}
{'t': '26.50', 'h': '52.50', 'time': '1657534869.2'}
{'t': '26.50', 'h': '52.00', 'time': '1657534874.32'}
{'t': '26.50', 'h': '52.00', 'time': '1657534879.54'}
{'t': '26.50', 'h': '52.30', 'time': '1657534884.66'}
{'t': '26.50', 'h': '52.60', 'time': '1657534889.78'}
{'t': '26.50', 'h': '52.60', 'time': '1657534894.9'}
{'t': '26.50', 'h': '52.60', 'time': '1657534900.02'}
{'t': '26.50', 'h': '52.70', 'time': '1657534905.14'}
{'t': '26.50', 'h': '52.90', 'time': '1657534910.26'}
{'t': '26.50', 'h': '52.90', 'time': '1657534915.48'}
{'t': '26.50', 'h': '52.90', 'time': '1657534920.6'}
{'t': '26.50', 'h': '52.70', 'time': '1657534925.72'}
{'t': '26.50', 'h': '52.60', 'time': '1657534930.85'}
